"Priority","Track","AssemblyId","SourceFile","PredictedBodyFamily","PredictedBracketPartGroups","SuggestedUse","NeedHasBracket","NeedBracketPartGroups","NeedBodyFamily","Notes"
"P1","GKZ positive","262948748","member_T2-3GKZ-5.json","BuiltUpH","262317231,262317238","GKZ 真牛腿优先","yes","yes","optional","优先确认是否真有牛腿"
"P1","GKZ positive","262960295","member_T2-3GKZ-3.json","BuiltUpH","261599364,261599370","GKZ 真牛腿优先","yes","yes","optional","优先确认是否真有牛腿"
"P1","GKZ positive","262970541","member_T2-3GKZ-15.json","BuiltUpH","261594522,261594528","GKZ 真牛腿优先","yes","yes","optional","优先确认是否真有牛腿"
"P1","BuiltUpT hard negative","260925586","member_T2-3GL-50.json","BuiltUpT","262077056,262077064,262077072,262077079,262077110","BuiltUpT 硬负例优先","yes","yes","optional","优先确认是否其实没有牛腿"
"P1","BuiltUpT hard negative","260925609","member_T2-3GL-53.json","BuiltUpT","262077208,262077216,262077224,262077262","BuiltUpT 硬负例优先","yes","yes","optional","优先确认是否其实没有牛腿"
"P1","BuiltUpT hard negative","260925691","member_T2-3GL-22.json","BuiltUpT","262074364,262074372,262074380,262074418","BuiltUpT 硬负例优先","yes","yes","optional","优先确认是否其实没有牛腿"
"P2","Single-part cluster boundary","263004765","member_T2-3GL-12.json","BuiltUpH","267382447","单件簇误报核对","yes","yes","optional","单件件组边界"
"P2","Single-part cluster boundary","263112220","member_T2-3GL-63.json","Irregular","263100710","单件簇误报核对","yes","yes","optional","单件件组边界"
"P2","GL suspicious bracket","260923319","member_T2-3GL-76.json","Irregular","263024889,263025492","GL 可疑牛腿/负例","yes","yes","optional","GL 误报边界"
"P2","GL suspicious bracket","260923860","member_T2-3GL-18.json","Irregular","262074060,262074068,262074076,262074114","GL 可疑牛腿/负例","yes","yes","optional","GL 误报边界"
"P3","Body boundary","262965494","member_T2-3GKZ-11.json","BuiltUpH","","GKZ 主体真值优先","optional","optional","yes","BuiltUpT -> BuiltUpH"
"P3","Body boundary","260923465","member_T2-3GL-62.json","BuiltUpT","","GL/BuiltUpT 主体真值优先","optional","optional","yes","Irregular -> BuiltUpT"
"P3","Body boundary","263004749","member_T2-3GL-56.json","BuiltUpT","","GL/BuiltUpT 主体真值优先","optional","optional","yes","BuiltUpH -> BuiltUpT"
"P3","Body boundary","260925150","member_T2-3GL-35.json","BuiltUpH","","GL/BuiltUpH 主体真值优先","optional","optional","yes","Irregular -> BuiltUpH"
"P3","Body boundary","262849548","member_T2-3GL-181.json","Irregular","","边界异形核对","optional","optional","yes","BuiltUpH -> Irregular"
"P3","Body boundary","263004753","member_T2-3GL-165.json","BuiltUpH","","GL/BuiltUpH 主体真值优先","optional","optional","yes","Irregular -> BuiltUpH"
"P3","Body boundary","266028106","member_T2-3GL-3.json","Irregular","","边界异形核对","optional","optional","yes","BuiltUpH -> Irregular"
"P3","Body boundary","268064329","member_T2-3GL-27.json","BuiltUpH","","GL/BuiltUpH 主体真值优先","optional","optional","yes","Irregular -> BuiltUpH"
